blx,bly,trx,try
8,35,46,91
45,73,68,98
66,19,90,63
85,29,104,54
95,22,118,57
131,33,164,108
163,81,182,106
180,28,199,69
198,34,216,58
211,27,227,62
239,36,263,94
257,51,292,80
281,33,304,96
339,62,367,83
398,66,423,80
445,17,472,64
472,8,492,36
433,65,497,77
433,83,460,119
460,95,486,122
569,4,592,39
540,11,567,61
522,68,592,81
574,78,596,100
528,90,548,123
548,103,576,123
628,12,660,94
658,65,677,91
675,10,694,51
693,19,712,40
707,10,726,42
730,30,764,102
754,45,797,82
788,26,820,89
872,38,899,75
956,31,998,84
981,65,1002,88
1018,24,1042,90
1037,50,1076,86
1067,36,1092,99
1136,18,1172,106
1172,86,1193,114
1181,16,1199,47
1181,16,1199,47
1200,24,1217,44
1209,15,1230,47
1254,27,1286,84
1280,43,1321,71
1279,20,1339,101
